trip_durat,Max Passen,crew_ratio,field_1_su,field_2_su,field_3_su,field_4_su,Cruise Lin,trip_count,lg_maxpass,nMaxPass,lg_tripcou,nTripCount,nTripDur,nCrewRate,ModeFrame,totalframe,frame1_pct,frame2_pct,frame3_pct,frame4_pct,line_len,prev_lat,prev_long,dest_lat,dest_long,Journey,geometry,Current_Country,Prev_cou,Linestring
83.500000000000000,29392,3.061666667000000,8.000000000000000,40.000000000000000,8.000000000000000,0,['Princess Cruises'],8,10.288,0.635,2.079,0.295,0.453,0.804,frame2,56,14.286,71.429,14.286,0,1213213.425,58.29257,-1.15,63.0713,-21.93333,"Lerwick, UK to Reykjavik, Iceland","LINESTRING (-1.15 60.167, -21.933333 64.15)",Iceland,UK,"LINESTRING (-1.15 60.167,-21.933333 64.15)"
29.000000000000000,928,1.995698925000000,0,0,0,0,['Viking Ocean (Viking Cruises)'],2,6.833,0.26,0.693,0.1,0.15,0.913,frame1,0,,,,,1173906.458,58.29257,-1.15,67.57991,13.57157,"Lerwick, UK to Leknes-Gravdal, Norway","LINESTRING (-1.15 60.167, 13.571566 68.1271935)",Norway,UK,"LINESTRING (-1.15 60.167,13.571566 68.1271935)"
15.000000000000000,928,1.995698925000000,0,0,0,0,['Viking Ocean (Viking Cruises)'],2,6.833,0.26,0.693,0.1,0.072,0.913,frame1,0,,,,,1758184.221,58.29257,-1.15,70.6919,25.95006,"Lerwick, UK to Honningsvag, Norway","LINESTRING (-1.15 60.167, 25.9500555 70.98258756)",Norway,UK,"LINESTRING (-1.15 60.167,25.9500555 70.98258756)"
15.000000000000000,928,1.995698925000000,0,0,0,0,['Viking Ocean (Viking Cruises)'],2,6.833,0.26,0.693,0.1,0.072,0.913,frame1,0,,,,,1758184.221,58.29257,-1.15,70.6919,25.95006,"Honningsvag, Norway to Lerwick, UK","LINESTRING (25.9500555 70.98258756, -1.15 60.167)",UK,Norway,"LINESTRING (25.9500555 70.98258756,-1.15 60.167)"
15.000000000000000,928,1.995698925000000,0,0,0,0,['Viking Ocean (Viking Cruises)'],2,6.833,0.26,0.693,0.1,0.072,0.913,frame1,0,,,,,1758184.221,58.29257,-1.15,70.6919,25.95006,"Honningsvag, Norway to Lerwick, UK","LINESTRING (25.9500555 70.98258756, -1.15 60.167)",UK,Norway,"LINESTRING (25.9500555 70.98258756,-1.15 60.167)"
15.000000000000000,928,1.995698925000000,0,0,0,0,['Viking Ocean (Viking Cruises)'],2,6.833,0.26,0.693,0.1,0.072,0.913,frame1,0,,,,,1758184.221,58.29257,-1.15,70.6919,25.95006,"Honningsvag, Norway to Lerwick, UK","LINESTRING (25.9500555 70.98258756, -1.15 60.167)",UK,Norway,"LINESTRING (25.9500555 70.98258756,-1.15 60.167)"
15.000000000000000,928,1.995698925000000,0,0,0,0,['Viking Ocean (Viking Cruises)'],2,6.833,0.26,0.693,0.1,0.072,0.913,frame1,0,,,,,1758184.221,58.29257,-1.15,70.6919,25.95006,"Honningsvag, Norway to Lerwick, UK","LINESTRING (25.9500555 70.98258756, -1.15 60.167)",UK,Norway,"LINESTRING (25.9500555 70.98258756,-1.15 60.167)"
60.529411764705891,16126,2.039974699705883,0,0,0,0,['Viking Ocean (Viking Cruises)'],17,9.688,0.57,2.833,0.455,0.325,0.908,frame1,0,,,,,376130.206,58.29257,-1.15,58.58428,5.29861,"Lerwick, UK to Bergen, Norway","LINESTRING (-1.15 60.167, 5.298611111 60.40277778)",Norway,UK,"LINESTRING (-1.15 60.167,5.298611111 60.40277778)"
60.529411764705891,16126,2.039974699705883,0,0,0,0,['Viking Ocean (Viking Cruises)'],17,9.688,0.57,2.833,0.455,0.325,0.908,frame1,0,,,,,376130.206,58.29257,-1.15,58.58428,5.29861,"Lerwick, UK to Bergen, Norway","LINESTRING (-1.15 60.167, 5.298611111 60.40277778)",Norway,UK,"LINESTRING (-1.15 60.167,5.298611111 60.40277778)"
60.529411764705891,16126,2.039974699705883,0,0,0,0,['Viking Ocean (Viking Cruises)'],17,9.688,0.57,2.833,0.455,0.325,0.908,frame1,0,,,,,376130.206,58.29257,-1.15,58.58428,5.29861,"Lerwick, UK to Bergen, Norway","LINESTRING (-1.15 60.167, 5.298611111 60.40277778)",Norway,UK,"LINESTRING (-1.15 60.167,5.298611111 60.40277778)"
